                time                norm            position               width      analytic_width
   0.0000000000000000        9.8999999999999950        1.9700182072583541E-017  0.50000000000000011       0.50000000000000000     
   5.0000000745058060E-002   9.9000000000000004        3.6103127715421948E-016  0.50245747332990076       0.50249378113018051     
  0.10000000149011612        9.8999999999999915        6.9141609826905666E-016  0.50975881553953772       0.50990195165151431     
  0.15000000223517418        9.8999999999999861        1.0025261814977408E-015  0.52170069249102313       0.52201532608780010     
  0.20000000298023224        9.8999999999999684        1.4155590144246280E-015  0.53797416302373757       0.53851648182028089     
  0.25000000372529030        9.8999999999999435        1.8148271118704717E-015  0.55820051292228767       0.55901699604094790     
  0.30000000447034836        9.8999999999999186        2.1494992026374721E-015  0.58196773981248795       0.58309519178450531     
  0.35000000521540642        9.8999999999998973        2.5926268671757275E-015  0.60886132472701293       0.61032778377752439     
  0.40000000596046448        9.8999999999998636        2.9712397530269040E-015  0.63848633526820497       0.64031242746675754     
  0.45000000670552254        9.8999999999998280        3.3507618070938957E-015  0.67048080726370474       0.67268120683944366     
  0.50000000745058060        9.8999999999997961        3.7810799635539386E-015  0.70452200142628818       0.70710678645490355     
  0.55000000819563866        9.8999999999997694        4.1487789511670193E-015  0.74032763896831522       0.74330344343020671     
  0.60000000894069672        9.8999999999997357        4.6332692324154390E-015  0.77765403629820806       0.78102497445909891     
  0.65000000968575478        9.8999999999997073        4.9893856201408310E-015  0.81629260099599699       0.82006098101999791     
  0.70000001043081284        9.8999999999996664        5.4117747114306970E-015  0.85606567365756003       0.86023253519216425     
  0.75000001117587090        9.8999999999996255        5.8157167643264244E-015  0.89682231182597316       0.90138782816488405     
  0.80000001192092896        9.8999999999995900        5.8080706636849724E-015  0.93843433469021975       0.94339812331458794     
  0.85000001266598701        9.8999999999995598        6.3005944302562497E-015  0.98079276349296596       0.98615415708304854     
  0.90000001341104507        9.8999999999995225        6.7597835681187353E-015   1.0238046757400021        1.0295630258220627     
  0.95000001415610313        9.8999999999994763        7.4556137762242259E-015   1.0673904183766447        1.0735455402061880     
   1.0000000149011612        9.8999999999994373        8.4026048249074378E-015   1.1114810824389496        1.1180340020778987     
   1.0500000156462193        9.8999999999993982        9.3522232157870518E-015   1.1560161254184473        1.1629703490876544     
   1.1000000163912773        9.8999999999993555        1.0346694653549183E-014   1.2009410401105156        1.2083046122815266     
   1.1500000171363354        9.8999999999993076        1.1831509528768236E-014   1.2462050120969892        1.2539936361136654     
   1.2000000178813934        9.8999999999992667        1.3216670892183934E-014   1.2917585766507409        1.3000000165059016     
   1.2500000186264515        9.8999999999992223        1.4911196751250752E-014   1.3375513629404603        1.3462912190778522     
   1.3000000193715096        9.8999999999991690        1.6660978590734528E-014   1.3835300745024961        1.3928388457987253     
   1.3500000201165676        9.8999999999991282        1.8463743966687851E-014   1.4296368778272996        1.4396180237530833     
   1.4000000208616257        9.8999999999990713        2.0373473005456038E-014   1.4758083462683895        1.4866068943781177     
   1.4500000216066837        9.8999999999990145        2.2334411431684272E-014   1.5219750424542748        1.5337861854441719     
   1.5000000223517418        9.8999999999989541        2.4568941157640174E-014   1.5680617400953678        1.5811388512889137     
   1.5500000230967999        9.8999999999988901        2.6670847769365799E-014   1.6139882094055442        1.6286497694716566     
   1.6000000238418579        9.8999999999988439        2.8818663224597054E-014   1.6596704364037829        1.6763054841805971     
   1.6500000245869160        9.8999999999987871        3.0755595881511360E-014   1.7050221214011048        1.7240939884869453     
   1.7000000253319740        9.8999999999987232        3.2904900745787748E-014   1.7499563031242558        1.7720045389695571     
   1.7500000260770321        9.8999999999986716        3.4928306739610632E-014   1.7943869745015109        1.8200274973938204     
   1.8000000268220901        9.8999999999986130        3.6324846750069133E-014   1.8382305856401897        1.8681541950705047     
   1.8500000275671482        9.8999999999985544        3.7851841470412993E-014   1.8814073618892271        1.9163768162859958     
   1.9000000283122063        9.8999999999984976        3.9040214663754270E-014   1.9238423952031252        1.9646882978188638     
   1.9500000290572643        9.8999999999984425        3.9973636073504981E-014   1.9654664925032477        2.0130822420664614     
   2.0000000298023224        9.8999999999983821        4.0793336722052781E-014   2.0062167842485774        2.0615528417213298     
   2.0500000305473804        9.8999999999983377        4.0945606893833175E-014   2.0460371100233861        2.1100948142783209     
   2.1000000312924385        9.8999999999982808        4.1248219766864976E-014   2.0848782063400435        2.1587033449337691     
   2.1500000320374966        9.8999999999982311        4.0902676868418025E-014   2.1226977260514603        2.2073740366691905     
   2.2000000327825546        9.8999999999981831        4.0722721210859786E-014   2.1594601198198693        2.2561028665030416     
   2.2500000335276127        9.8999999999981281        3.9697131664911107E-014   2.1951364089425711        2.3048861470524433     
   2.3000000342726707        9.8999999999980801        3.8018655283458266E-014   2.2297038762770907        2.3537204926784079     
   2.3500000350177288        9.8999999999980286        3.6339478003631283E-014   2.2631456986867291        2.4026027895978408     
   2.4000000357627869        9.8999999999979842        3.4635944505303170E-014   2.2954505409384596        2.4515301694373206     
   2.4500000365078449        9.8999999999979327        3.3099575269205587E-014   2.3266121279480494        2.5004999857805323     
   2.5000000372529030        9.8999999999978918        3.0892796738250521E-014   2.3566288102546640        2.5495097933258695     
   2.5500000379979610        9.8999999999978474        2.9461912707459779E-014   2.3855031367509465        2.5985573293251782     
   2.6000000387430191        9.8999999999978101        2.7311206046435240E-014   2.4132414479621818        2.6476404970206397     
   2.6500000394880772        9.8999999999977764        2.5214118111031788E-014   2.4398534997893035        2.6967573508357794     
   2.7000000402331352        9.8999999999977426        2.4445583043795913E-014   2.4653521177587354        2.7459060831097140     
