                time                norm            position               width   analytic_position
   0.0000000000000000        9.8999999999999950        1.9700182072583541E-017  0.50000000000000011        0.0000000000000000     
   5.0000000745058060E-002   9.9000000000000039       -6.0424216072330697E-017  0.50183744177644929        0.0000000000000000     
  0.10000000149011612        9.9000000000000039       -2.3962908009283609E-016  0.50729204563456987        0.0000000000000000     
  0.15000000223517418        9.9000000000000110       -3.7162680293778222E-016  0.51619688158728783        0.0000000000000000     
  0.20000000298023224        9.9000000000000181       -4.7644706225445138E-016  0.52829293148119427        0.0000000000000000     
  0.25000000372529030        9.9000000000000163       -6.1397085440098354E-016  0.54325303825711879        0.0000000000000000     
  0.30000000447034836        9.9000000000000110       -9.3112639213794998E-016  0.56070778245799968        0.0000000000000000     
  0.35000000521540642        9.9000000000000128       -1.2018954157002396E-015  0.58026915485601527        0.0000000000000000     
  0.40000000596046448        9.9000000000000217       -1.4349794172344442E-015  0.60154954489711632        0.0000000000000000     
  0.45000000670552254        9.9000000000000199       -1.5617326742824809E-015  0.62417524942235481        0.0000000000000000     
  0.50000000745058060        9.9000000000000146       -1.9251799147754490E-015  0.64779490838987164        0.0000000000000000     
  0.55000000819563866        9.9000000000000092       -2.2927281174588661E-015  0.67208387961298865        0.0000000000000000     
  0.60000000894069672        9.9000000000000110       -2.6412302058159185E-015  0.69674570448783046        0.0000000000000000     
  0.65000000968575478        9.9000000000000057       -3.0633430701532394E-015  0.72151169017465011        0.0000000000000000     
  0.70000001043081284        9.9000000000000004       -3.3180322447126180E-015  0.74613940355778408        0.0000000000000000     
  0.75000001117587090        9.8999999999999986       -3.8288054569509524E-015  0.77041063684034250        0.0000000000000000     
  0.80000001192092896        9.8999999999999897       -4.2477214242809273E-015  0.79412920826684841        0.0000000000000000     
  0.85000001266598701        9.8999999999999773       -4.6077097690047630E-015  0.81711881550455645        0.0000000000000000     
  0.90000001341104507        9.8999999999999631       -5.3011955820269799E-015  0.83922105898392252        0.0000000000000000     
  0.95000001415610313        9.8999999999999577       -5.6843912347871604E-015  0.86029368793891092        0.0000000000000000     
   1.0000000149011612        9.8999999999999471       -6.0360695527532827E-015  0.88020908278160181        0.0000000000000000     
   1.0500000156462193        9.8999999999999400       -6.3027126884056377E-015  0.89885296541546322        0.0000000000000000     
   1.1000000163912773        9.8999999999999240       -6.4060350981534253E-015  0.91612331796788549        0.0000000000000000     
   1.1500000171363354        9.8999999999999240       -6.6227305464380454E-015  0.93192948594960467        0.0000000000000000     
   1.2000000178813934        9.8999999999999080       -6.7614339963086492E-015  0.94619144121995269        0.0000000000000000     
   1.2500000186264515        9.8999999999998956       -7.0329714684049581E-015  0.95883918156426717        0.0000000000000000     
   1.3000000193715096        9.8999999999998867       -6.9928967407887271E-015  0.96981224607445804        0.0000000000000000     
   1.3500000201165676        9.8999999999998725       -7.0170445111123200E-015  0.97905932822651387        0.0000000000000000     
   1.4000000208616257        9.8999999999998689       -7.1450192646730531E-015  0.98653797123696796        0.0000000000000000     
   1.4500000216066837        9.8999999999998565       -7.0925849092873743E-015  0.99221433281939664        0.0000000000000000     
   1.5000000223517418        9.8999999999998440       -6.9396154326672687E-015  0.99606300883355647        0.0000000000000000     
   1.5500000230967999        9.8999999999998334       -7.0390767257438491E-015  0.99806690755736416        0.0000000000000000     
   1.6000000238418579        9.8999999999998192       -6.7292040531038646E-015  0.99821716845595088       -0.0000000000000000     
   1.6500000245869160        9.8999999999998156       -6.6100243356736534E-015  0.99651312139756876       -0.0000000000000000     
   1.7000000253319740        9.8999999999998067       -6.4214954533903679E-015  0.99296228428130950       -0.0000000000000000     
   1.7500000260770321        9.8999999999997979       -6.1915564992579554E-015  0.98758039899988825       -0.0000000000000000     
   1.8000000268220901        9.8999999999997907       -5.9526433273031266E-015  0.98039150757525706       -0.0000000000000000     
   1.8500000275671482        9.8999999999997730       -5.5549357657661885E-015  0.97142807220725669       -0.0000000000000000     
   1.9000000283122063        9.8999999999997623       -5.4771201376326238E-015  0.96073114491600786       -0.0000000000000000     
   1.9500000290572643        9.8999999999997588       -5.1966703041130056E-015  0.94835059449825188       -0.0000000000000000     
   2.0000000298023224        9.8999999999997392       -5.0628017252570076E-015  0.93434540071582461       -0.0000000000000000     
   2.0500000305473804        9.8999999999997410       -4.7971106333813287E-015  0.91878402803410597       -0.0000000000000000     
   2.1000000312924385        9.8999999999997339       -4.5025688747453773E-015  0.90174489383825029       -0.0000000000000000     
   2.1500000320374966        9.8999999999997232       -4.3858555097772800E-015  0.88331694882358347       -0.0000000000000000     
   2.2000000327825546        9.8999999999997144       -4.0260341384368127E-015  0.86360039003305122       -0.0000000000000000     
   2.2500000335276127        9.8999999999997037       -3.9668312043987527E-015  0.84270752948595462       -0.0000000000000000     
   2.3000000342726707        9.8999999999996984       -3.8917855397730417E-015  0.82076384293379800       -0.0000000000000000     
   2.3500000350177288        9.8999999999996913       -3.6142257596755048E-015  0.79790922300071798       -0.0000000000000000     
   2.4000000357627869        9.8999999999996877       -3.4830561000404900E-015  0.77429945718262971       -0.0000000000000000     
   2.4500000365078449        9.8999999999996788       -3.1878906201513056E-015  0.75010794128877489       -0.0000000000000000     
   2.5000000372529030        9.8999999999996788       -2.9955022468155948E-015  0.72552761892412676       -0.0000000000000000     
   2.5500000379979610        9.8999999999996664       -2.8530222521804916E-015  0.70077310169506002       -0.0000000000000000     
   2.6000000387430191        9.8999999999996682       -2.5085946972088669E-015  0.67608286495533121       -0.0000000000000000     
   2.6500000394880772        9.8999999999996557       -2.4594641674894979E-015  0.65172132011768491       -0.0000000000000000     
